date_scraped,season,section,stat_category,rank,player,team,value
2026-07-11,2025/26,Discipline,Penalty Conceded,2,Evan Roos,DHL Stormers,21
2026-07-11,2025/26,Discipline,Penalty Conceded,3,SJ Kotze,Lions,20
2026-07-11,2025/26,Discipline,Penalty Conceded,4,Keiron Assiratti,Cardiff,19
2026-07-11,2025/26,Discipline,Penalty Conceded,5,Henry Thomas,Scarlets,18
2026-07-11,2025/26,Discipline,Yellow Card,1,Adam Hastings,Glasgow,2
2026-07-11,2025/26,Discipline,Yellow Card,2,Ruan Nortje,Vodacom Bulls,2
2026-07-11,2025/26,Discipline,Yellow Card,3,Adre Smith,DHL Stormers,2
2026-07-11,2025/26,Discipline,Yellow Card,4,Brian Deeny,Leinster,2
2026-07-11,2025/26,Discipline,Yellow Card,5,Joe Roberts,Scarlets,2
2026-07-11,2025/26,Discipline,Red Card,1,Diarmuid Barron,Munster,1
2026-07-11,2025/26,Discipline,Red Card,2,Harri Morris,Edinburgh,1
2026-07-11,2025/26,Discipline,Red Card,3,Ruan Ackermann,DHL Stormers,1
2026-07-11,2025/26,Discipline,Red Card,4,Daniel Kasende,Ospreys,1
2026-07-11,2025/26,Discipline,Red Card,5,Ross Moriarty,Ospreys,1
2026-07-11,2025/26,Lineout,Lineout Throws Won,1,Johann Grobbelaar,Vodacom Bulls,173
2026-07-11,2025/26,Lineout,Lineout Throws Won,2,Andre-Hugo Venter,DHL Stormers,159
2026-07-11,2025/26,Lineout,Lineout Throws Won,3,Liam Belcher,Cardiff,135
2026-07-11,2025/26,Lineout,Lineout Throws Won,4,Ewan Ashman,Edinburgh,118
2026-07-11,2025/26,Lineout,Lineout Throws Won,5,Brodie Coghlan,Dragons,114
