competition,date_scraped,season,team,player,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won
United Rugby Championship,2026-07-12,2025/26,Dragons,Ewan Rosser,,,,,,2,11,,,,5,2,,,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Federico Ruzza,5,1,,,,40,39,2,2,7,49,1,4,3,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Federico Zanandrea,,,,,,6,37,,2,,7,3,1,,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Fergus Watson,5,1,,,,14,88,2,9,,8,4,2,1,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Fetuli Paea,,,,,,38,115,1,10,1,36,7,5,1,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Fez Mbatha,10,2,,,,56,57,,2,2,67,7,7,6,,,94
United Rugby Championship,2026-07-12,2025/26,Connacht,Fiachna Barrett,5,1,,,,20,67,1,1,,31,1,2,1,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Filippo Drago,,,,,,34,55,,3,2,42,8,2,,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Fin Richardson,,,,,,25,14,,2,1,37,4,1,,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Findlay Thomson,,,,,,42,119,,1,,56,7,1,3,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Fine Inisi,10,2,,,,65,282,9,22,11,85,5,9,4,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Fineen Wycherley,5,1,,,,75,90,,,,181,13,11,7,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Finlay Bealham,15,3,,,,45,36,,1,2,61,5,2,9,1,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Finn Treacy,15,3,,,,40,241,4,17,1,34,12,10,,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Fintan Gunne,5,1,,,,34,178,2,8,5,32,5,8,1,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Fletcher Anderson,5,1,,,,190,542,2,46,9,185,18,10,6,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Francke Horn,25,5,,,,90,475,11,30,17,120,8,6,3,1,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Franco Carrera,5,1,,,,35,110,2,6,2,66,1,3,7,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Franco Marais,5,1,,,,51,72,,1,1,80,8,2,9,,,75
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Francois Klopper,5,1,,,,30,45,,1,,67,8,4,5,1,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Francois Venter,,,,,,20,44,,3,2,29,4,4,,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Freddy Douglas,5,1,,,,59,103,2,6,2,106,9,4,8,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Gabe Hawley,,,,,,3,,,,,5,,,1,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Gabe McDonald,,,,,,2,6,,,,3,,1,,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Gareth Davies,15,3,,,,21,130,3,7,1,42,13,6,6,1,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Gareth Thomas,,,,,,25,26,,1,,59,11,,7,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Garry Ringrose,10,2,,,,29,68,2,5,2,25,9,1,,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Garyn Phillips,5,1,,,,28,45,,3,,47,4,3,6,,,1
United Rugby Championship,2026-07-12,2025/26,Munster,Gavin Coombes,20,4,,,,139,250,1,15,19,169,10,7,6,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,George Horne,76,6,23,,,56,373,5,18,5,66,18,8,4,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,George Nott,,,,,,66,60,,1,6,128,10,6,6,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,George Roberts,5,1,,,,15,41,,5,1,37,1,,1,,,24
United Rugby Championship,2026-07-12,2025/26,Sharks,George Whitehead,4,,2,,,5,18,,,,8,4,1,,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Gerhard Steenekamp,,,,,,51,89,1,3,1,94,9,6,7,,,1
United Rugby Championship,2026-07-12,2025/26,Zebre,Giacomo Ferrari,5,1,,,,63,147,1,6,,81,8,6,4,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Giacomo Milano,,,,,,,,,,,5,1,,,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Giacomo da Re,49,,14,7,,56,210,,10,5,63,14,20,1,,,1
United Rugby Championship,2026-07-12,2025/26,Zebre,Giampietro Ribaldi,5,1,,,,30,28,,1,,52,3,2,2,,,46
United Rugby Championship,2026-07-12,2025/26,Lions,Gianni Lombard,6,,,2,,7,5,,,3,2,2,2,,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Giosue Zilocchi,,,,,,32,19,,2,2,56,3,1,7,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Giovanni Licata,5,1,,,,83,180,3,10,16,55,8,6,6,,,1
United Rugby Championship,2026-07-12,2025/26,Zebre,Giovanni Montemauri,21,,6,3,,60,354,3,19,8,42,8,8,,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Giovanni Quattrini,15,3,,,,19,47,1,1,,46,5,,4,,,41
United Rugby Championship,2026-07-12,2025/26,Zebre,Giulio Bertaccini,10,2,,,,64,301,4,17,7,99,11,5,6,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Giulio Marini,,,,,,40,43,1,3,,107,11,2,5,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Glen Young,5,1,,,,89,133,2,9,8,162,16,10,11,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Gonzalo Garcia,5,1,,,,19,54,1,1,1,29,5,8,3,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Gordon Wood,,,,,,1,5,,,,3,,,,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Grant Gilchrist,5,1,,,,49,51,1,2,1,126,4,8,10,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Grant Stewart,,,,,,,,,,,,,1,,,,2
United Rugby Championship,2026-07-12,2025/26,Sharks,Grant Williams,5,1,,,,28,152,5,11,6,38,2,3,3,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Gregor Brown,5,1,,,,60,253,1,10,5,74,2,3,7,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Gregor Hiddleston,35,7,,,,72,94,1,1,4,122,7,5,10,,,109
United Rugby Championship,2026-07-12,2025/26,Zebre,Guido Volpi,,,,,,26,28,,,2,35,6,4,,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Gus McCarthy,10,2,,,,73,169,1,4,1,84,6,4,,,,69
United Rugby Championship,2026-07-12,2025/26,Ospreys,Gwilym Evans,,,,,,10,14,,2,,37,1,,,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Haashim Pead,10,2,,,,13,53,1,5,,9,3,1,,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Hacjivah Dayimani,5,1,,,,12,16,,3,,15,1,,2,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Hakeem Kunene,5,1,,,,9,109,1,1,,6,2,3,1,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Hamish Watson,,,,,,6,2,,,1,2,,,,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Handre Pollard,129,3,39,12,,69,205,3,12,8,85,26,18,3,1,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Hanro Jacobs,5,1,,,,31,60,1,3,,53,9,,12,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Harold Vorster,25,5,,,,108,501,14,16,14,110,21,12,3,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Harri Ackerman,,,,,,21,33,,2,,21,2,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Harri Deaves,5,1,,,,85,284,4,24,4,150,8,7,10,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Harri Houston,,,,,,9,56,,2,1,5,,1,,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Harri Millard,5,1,,,,64,346,7,17,2,67,13,15,1,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Harri Morris,5,1,,,,39,65,,2,,95,10,1,5,,1,70
United Rugby Championship,2026-07-12,2025/26,Scarlets,Harri O'Connor,,,,,,18,16,,1,1,24,2,,4,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Harri Wilde,2,,1,,,,,,,,,,,,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Harrison Keddie,5,1,,,,73,181,1,17,2,143,9,7,6,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Harry Beddall,,,,,,37,45,,5,,146,3,4,6,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Harry Byrne,76,2,27,4,,48,119,2,11,,51,18,7,4,,,1
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Harry Paterson,15,3,,,,83,437,6,17,8,29,19,14,5,,,
