competition,date_scraped,season,team,player,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won
United Rugby Championship,2026-07-12,2025/26,Glasgow,Rory Sutherland,,,,,,39,45,1,2,1,42,1,4,7,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Rory Thornton,5,1,,,,42,32,,1,1,91,3,5,3,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Ross Braude,5,1,,,,9,67,1,4,,10,1,5,1,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Ross McCann,,,,,,6,28,,3,,4,,2,,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Ross Moriarty,,,,,,108,283,3,9,5,126,16,11,8,1,1,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Ross Thompson,47,1,18,2,,62,215,2,9,5,87,25,16,5,,,1
United Rugby Championship,2026-07-12,2025/26,Munster,Ruadhan Quinn,5,1,,,,34,45,,1,,48,4,,2,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Ruan Ackermann,,,,,,16,26,,2,1,21,1,3,1,,1,
United Rugby Championship,2026-07-12,2025/26,Lions,Ruan Delport,,,,,,27,47,1,1,2,25,1,2,,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Ruan Dreyer,,,,,,19,21,,1,,22,4,2,7,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Ruan Nortje,5,1,,,,81,242,4,7,3,146,17,11,11,2,,
United Rugby Championship,2026-07-12,2025/26,Lions,Ruan Venter,35,7,,,,156,567,3,21,14,99,11,7,7,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Ruan Vermaak,10,2,,,,51,131,3,4,5,76,13,2,4,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Ruben Moloney,,,,,,19,183,3,9,3,7,4,5,,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Ruben Schoeman,,,,,,13,10,,,,33,6,1,2,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Ruben van Heerden,5,1,,,,62,130,,4,1,91,4,4,3,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Ruhan Nel,15,3,,,,66,360,8,22,10,75,18,8,5,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Ryan Baird,,,,,,21,21,,4,3,27,6,4,2,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Ryan Burke,,,,,,3,,,,,9,1,1,,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Ryan Conbeer,,,,,,2,28,1,1,,8,10,1,,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Ryan Elias,,,,,,76,156,,7,1,87,5,1,5,,,93
United Rugby Championship,2026-07-12,2025/26,Ospreys,Ryan Smith,,,,,,84,160,2,15,4,129,12,8,13,1,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Ryan Woodman,,,,,,57,95,,1,2,138,11,4,5,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Rynhardt Jonker,,,,,,18,50,,2,1,20,1,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Lions,SJ Kotze,15,3,,,,74,216,7,13,5,117,9,6,20,1,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Sacha Feinberg-Mngomezulu,169,10,34,17,,117,762,19,49,9,72,21,32,8,,,6
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Salmaan Moerat,,,,,,20,19,,,2,52,4,2,6,1,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Sam Costelow,39,,9,7,,31,119,5,11,1,45,14,4,1,,,1
United Rugby Championship,2026-07-12,2025/26,Ulster,Sam Crean,,,,,,39,16,,,,82,10,6,13,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Sam Francis,,,,,,,,,,,,2,,,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Sam Gilbert,88,1,31,7,,105,435,5,16,8,39,13,19,6,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Sam Illo,5,1,,,,39,74,,6,,93,5,2,9,1,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Sam Lousi,10,2,,,,56,105,1,1,5,130,2,8,10,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Sam O'Connor,,,,,,19,33,,3,,17,3,,3,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Sam Parry,5,1,,,,44,88,2,6,,78,5,3,7,,,90
United Rugby Championship,2026-07-12,2025/26,Leinster,Sam Prendergast,95,4,30,5,,72,353,4,16,7,66,23,21,2,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Sam Scarfe,,,,,,2,4,,,,7,1,,,,,1
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Sam Skinner,,,,,,9,4,,,,20,1,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Sam Talakai,5,1,,,,57,87,1,7,1,71,1,3,6,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Sam Wainwright,,,,,,11,1,,1,,21,1,,5,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Samuele Locatelli,5,1,,,,53,119,2,17,4,116,7,4,10,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Sazi Sandi,5,1,,,,21,26,,1,,45,6,2,7,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Scarra Ntubeni,,,,,,4,9,,,2,6,3,,,,,5
United Rugby Championship,2026-07-12,2025/26,Glasgow,Scott Cummings,,,,,,48,67,1,2,,48,4,2,4,1,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Scott Penny,25,5,,,,106,304,4,11,3,123,20,8,8,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Scott Scrafton,,,,,,25,25,,,,32,2,1,5,1,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Scott Wilson,15,3,,,,75,74,,14,1,98,13,5,12,1,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Seabelo Senatla,,,,,,22,154,5,12,2,16,7,8,3,,,1
United Rugby Championship,2026-07-12,2025/26,Munster,Sean Edogbo,,,,,,18,68,1,5,,21,4,3,1,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Sean Jansen,50,10,,,,211,578,2,24,13,209,13,15,10,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Sean Naughton,57,3,15,4,,73,215,7,12,1,43,15,6,2,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Sean O'Brien,,,,,,57,149,,10,1,105,4,4,4,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Sean O'Brien,5,1,,,,36,196,2,9,3,29,10,5,3,1,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Sean Reffell,,,,,,6,1,,3,1,20,1,,2,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Seb Davies,5,1,,,,49,52,1,4,1,109,12,7,6,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Seb Stephen,15,3,,,,43,161,1,14,3,38,5,5,2,,,59
United Rugby Championship,2026-07-12,2025/26,Lions,Sebastian Lombard,,,,,,9,6,,1,,36,1,,2,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Sebastian Negri,,,,,,32,74,2,4,,31,2,2,5,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Sebastian de Klerk,15,3,,,,84,569,13,38,13,55,11,12,3,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Sergeal Petersen,20,4,,,,19,154,3,6,1,4,3,4,2,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Shamus Hurley-Langton,30,6,,,,64,205,3,14,8,102,5,6,6,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Shane Daly,10,2,,,,116,581,10,15,10,57,18,21,5,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Shane Jennings,,,,,,62,196,2,5,5,70,13,12,2,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Shane Lewis-Hughes,5,1,,,,43,31,,5,,104,9,3,6,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Shay McCarthy,,,,,,9,40,1,6,,2,3,1,,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Shayne Bolton,5,1,,,,64,406,9,23,2,30,13,10,2,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Shilo Klein,,,,,,10,14,,,,11,1,,1,,,13
United Rugby Championship,2026-07-12,2025/26,Lions,Sibabalo Qoma,,,,,,21,32,1,2,,21,3,3,1,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Sibabalwe Mahashe,25,5,,,,50,293,4,9,10,102,20,9,5,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Simone Ferrari,5,1,,,,22,18,,1,1,58,7,,2,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Simone Gesi,30,6,,,,63,406,10,29,10,54,16,10,4,,1,2
United Rugby Championship,2026-07-12,2025/26,Sharks,Simphiwe Matanzima,,,,,,16,34,,3,,27,1,1,4,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Sintu Manjezi,,,,,,,,,,,5,,,,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Sione Tuipulotu,5,1,,,,140,478,4,29,1,78,14,7,,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Sione Vailanu,,,,,,59,146,2,3,,51,5,5,1,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Siua Maile,5,1,,,,27,54,1,4,,68,7,9,5,,,64
United Rugby Championship,2026-07-12,2025/26,Sharks,Siya Kolisi,35,7,,,,46,224,3,21,1,28,2,8,3,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Siya Masuku,7,,2,1,,13,40,,2,2,16,8,4,1,,,1
United Rugby Championship,2026-07-12,2025/26,Benetton,So'otala Fa'aso'o,,,,,,106,271,1,8,3,86,17,10,4,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Stafford McDowall,15,3,,,,169,543,7,41,13,96,19,16,6,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Stedman Gans,,,,,,57,308,4,16,6,39,8,7,4,1,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Stefan Ungerer,5,1,,,,15,85,1,1,2,22,20,7,1,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Steff Emanuel,5,1,,,,22,92,,5,1,29,1,3,,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Steff Thomas,,,,,,38,29,,3,,86,9,1,8,,,1
United Rugby Championship,2026-07-12,2025/26,Scarlets,Steve Cummins,,,,,,6,6,1,1,1,4,,,1,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Stewart Moore,,,,,,1,,,,,1,,,,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Sti Sithole,,,,,,,,,,,8,2,,,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Stravino Jacobs,15,3,,,,57,473,11,23,4,28,10,15,4,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Stuart McCloskey,5,1,,,,67,225,2,14,10,62,6,4,3,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Suleiman Hartzenberg,,,,,,12,57,,2,,16,5,8,1,,,1
United Rugby Championship,2026-07-12,2025/26,Munster,Tadhg Beirne,10,2,,,,23,42,1,2,1,43,4,5,4,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Tadhg Furlong,,,,,,31,33,,4,1,34,6,2,2,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Taine Basham,10,2,,,,126,397,6,29,1,144,10,9,8,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Taine Plumtree,25,5,,,,84,252,4,9,9,100,15,15,12,1,,
United Rugby Championship,2026-07-12,2025/26,Lions,Tapiwa Mafura,,,,,,1,4,,,,5,2,2,,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Taulupe Faletau,10,2,,,,50,206,1,11,3,38,2,2,1,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Teddy Williams,,,,,,15,15,1,,1,36,5,1,5,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Thaakir Abrahams,,,,,,51,333,5,15,2,32,20,10,4,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Thomas Dominguez,10,2,,,,21,69,1,2,3,42,22,3,1,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Thomas Dyer,,,,,,14,20,,,,12,2,1,,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Thomas Gallo,5,1,,,,37,76,3,14,4,79,9,6,6,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Thomas Young,10,2,,,,66,215,1,20,2,114,8,8,13,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Tinotenda Mavesere,5,1,,,,15,22,1,,2,19,2,3,3,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Tinus de Beer,33,2,10,1,,100,429,5,27,3,130,18,16,6,,,1
United Rugby Championship,2026-07-12,2025/26,Benetton,Tiziano Pasquali,,,,,,14,9,,1,,50,5,,13,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Tom Ahern,20,4,,,,45,176,1,5,4,88,17,11,3,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Tom Botha,,,,,,19,3,,2,,77,6,1,12,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Tom Bowen,30,6,,,,59,359,6,16,2,34,15,15,4,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Tom Brigg,,,,,,2,11,,,,5,1,,1,1,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Tom Clarkson,10,2,,,,71,114,1,5,,66,5,2,13,1,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Tom Currie,10,2,,,,33,101,1,11,,39,,2,2,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Tom Dodd,,,,,,13,22,,4,2,26,4,3,,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Tom Farrell,10,2,,,,93,349,7,16,18,69,10,4,6,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Tom Florence,,,,,,11,55,1,3,,12,3,2,,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Tom McAllister,5,1,,,,16,33,1,1,,41,3,,,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Tom O'Toole,,,,,,44,52,,3,1,73,4,1,11,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Tom Rogers,10,2,,,,75,438,9,20,10,61,21,6,3,,,2
United Rugby Championship,2026-07-12,2025/26,Ulster,Tom Stewart,30,6,,,,78,238,3,15,3,178,11,6,4,,,90
United Rugby Championship,2026-07-12,2025/26,Munster,Tom Wood,2,,1,,,2,3,,,,5,1,1,,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Tomas Medina,,,,,,11,23,,5,1,22,3,,4,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Tomas Montilla,,,,,,1,,,,,4,1,,,,,1
United Rugby Championship,2026-07-12,2025/26,Scarlets,Tomi Lewis,5,1,,,,15,66,2,6,3,15,9,4,2,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Tommaso Menoncello,5,1,,,,74,399,7,21,9,91,17,15,6,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Tommaso di Bartolomeo,20,4,,,,40,62,,,1,117,7,7,5,,,110
United Rugby Championship,2026-07-12,2025/26,Leinster,Tommy O'Brien,30,6,,,,47,404,9,17,4,29,6,9,6,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Tony Butler,7,,2,1,,14,59,,1,1,23,4,6,2,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Tristan Davies,,,,,,13,8,,3,1,14,,,3,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Vernon Matongo,,,,,,23,34,1,3,,61,2,3,5,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Vincent Koch,5,1,,,,23,16,,,1,54,5,,5,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Vincent Tshituka,20,4,,,,128,520,3,18,7,123,21,16,13,,,
United Rugby Championship,2026-07-12,2025/26,Lions,WJ Steenkamp,5,1,,,,13,32,,1,,9,,2,,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Wandisile Simelane,15,3,,,,77,357,6,28,15,37,23,14,4,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Warrick Gelant,5,1,,,,73,286,2,19,9,20,11,13,2,,,2
United Rugby Championship,2026-07-12,2025/26,Ulster,Werner Kok,50,10,,,,91,537,11,32,10,92,8,32,8,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Wes Goosen,5,1,,,,85,623,11,36,4,54,9,10,3,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Wilco Louw,5,1,,,,30,42,,2,,52,7,2,3,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Wilhelm de Klerk,,,,,,7,13,,2,,16,2,,,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Will Austin,,,,,,2,14,,2,,12,2,,,,,4
United Rugby Championship,2026-07-12,2025/26,Leinster,Will Connors,5,1,,,,43,49,,1,4,67,4,3,6,,,2
United Rugby Championship,2026-07-12,2025/26,Ospreys,Will Greatbanks,,,,,,,,,,,2,,,,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Willie le Roux,39,5,7,,,84,489,8,18,10,27,6,25,6,1,,3
United Rugby Championship,2026-07-12,2025/26,Dragons,Wyn Jones,,,,,,22,17,,2,,65,6,2,11,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Yaw Penxe,5,1,,,,30,131,3,8,6,15,8,7,1,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Zac Porthen,,,,,,21,38,,4,1,51,2,,4,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Zac Ward,55,11,,,,124,"1,113",20,56,6,53,18,20,7,1,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Zak Burger,5,1,,,,16,38,1,1,1,13,5,3,1,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Zander Fagerson,,,,,,98,83,,3,1,45,5,2,8,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Zekethelo Siyaya,5,1,,,,41,372,6,24,5,7,3,5,1,,,
Nations Championship,2026-07-12,2026,France,Aaron Grandidier,10,2,,,,11,72,2,2,,4,1,,,,,
Nations Championship,2026-07-12,2026,Wales,Aaron Wainwright,,,,,,20,57,,2,,22,5,2,1,,,
Nations Championship,2026-07-12,2026,Wales,Adam Beard,,,,,,10,13,,,,28,4,1,4,,,
Nations Championship,2026-07-12,2026,Argentina,Agustin Moyano,5,1,,,,1,,,1,,,1,,,,,
Nations Championship,2026-07-12,2026,Italy,Alessandro Fusco,,,,,,,,,,,3,,,,,,1
Nations Championship,2026-07-12,2026,Italy,Alessandro Garbisi,,,,,,,,,,,3,1,,,,,
Nations Championship,2026-07-12,2026,Italy,Alessandro Ortombina,,,,,,2,1,,,,12,1,,,,,
Nations Championship,2026-07-12,2026,England,Alex Coles,5,1,,,,13,19,,,,26,2,,,,,
Nations Championship,2026-07-12,2026,Wales,Alex Mann,,,,,,3,11,,,,11,1,3,1,,,
Nations Championship,2026-07-12,2026,England,Alex Mitchell,,,,,,3,7,,,,1,2,,,,,
Nations Championship,2026-07-12,2026,Scotland,Alex Samuel,,,,,,1,,,,,4,,,,,,
Nations Championship,2026-07-12,2026,Australia,Allan Alaalatoa,,,,,,6,5,,,,17,1,,,,,
Nations Championship,2026-07-12,2026,South Africa,Andre Esterhuizen,,,,,,1,,,,,2,1,,1,,,
Nations Championship,2026-07-12,2026,Italy,Andrea Zambonin,,,,,,9,12,,2,1,26,2,2,1,,,
Nations Championship,2026-07-12,2026,Australia,Angus Bell,,,,,,14,16,,1,,24,1,,1,,,
Nations Championship,2026-07-12,2026,France,Antoine Hastoy,7,1,1,,,12,43,1,3,,,2,,,,,
Nations Championship,2026-07-12,2026,New Zealand,Anton Lienert-Brown,,,,,,7,14,,1,,,1,1,,,,
Nations Championship,2026-07-12,2026,New Zealand,Anton Segner,,,,,,6,23,,,,7,,,,,,
Nations Championship,2026-07-12,2026,South Africa,Aphelele Fassi,,,,,,6,21,,,,5,2,2,1,,,
Nations Championship,2026-07-12,2026,New Zealand,Ardie Savea,,,,,,28,99,2,6,1,26,1,2,1,,,
Nations Championship,2026-07-12,2026,New Zealand,Asafo Aumua,,,,,,,,,,,5,,,,,,1
Nations Championship,2026-07-12,2026,England,Asher Opoku-Fordjour,,,,,,3,8,,2,,5,4,,,,,
Nations Championship,2026-07-12,2026,France,Barnabe Massa,,,,,,1,4,,1,,4,1,,,,,2
Nations Championship,2026-07-12,2026,Argentina,Bautista Delguy,,,,,,12,76,1,2,,8,,3,,,,
Nations Championship,2026-07-12,2026,Wales,Ben Carter,,,,,,10,7,,,,29,2,1,,,,
Nations Championship,2026-07-12,2026,Australia,Ben Donaldson,,,,,,2,6,,,1,,1,1,,,,
Nations Championship,2026-07-12,2026,England,Ben Earl,,,,,,34,104,,4,,24,6,2,,,,
Nations Championship,2026-07-12,2026,Japan,Ben Gunter,5,1,,,,17,28,,1,,34,3,,,,,
Nations Championship,2026-07-12,2026,Wales,Ben Warren,5,1,,,,5,5,,1,,11,,,1,,,
Nations Championship,2026-07-12,2026,Scotland,Ben White,5,1,,,,10,37,1,1,2,8,2,1,2,,,
Nations Championship,2026-07-12,2026,South Africa,Ben-Jason Dixon,5,1,,,,6,13,,2,,18,2,,,1,,
Nations Championship,2026-07-12,2026,England,Benhard Janse van Rensburg,5,1,,,,4,9,,1,,6,1,2,,,,
Nations Championship,2026-07-12,2026,England,Beno Obano,,,,,,,,,,,4,,,1,,,
Nations Championship,2026-07-12,2026,Ireland,Billy Bohan,,,,,,4,1,,,,4,,1,1,,,
Nations Championship,2026-07-12,2026,New Zealand,Billy Proctor,,,,,,15,60,1,4,1,10,1,1,1,,,
Nations Championship,2026-07-12,2026,Wales,Blair Murray,,,,,,18,100,1,4,1,14,7,,,,,
Nations Championship,2026-07-12,2026,South Africa,Boan Venter,,,,,,6,2,,,,7,1,,,,,
Nations Championship,2026-07-12,2026,Argentina,Boris Wenger,,,,,,7,14,1,2,,14,,1,1,,,
Nations Championship,2026-07-12,2026,Australia,Brandon Paenga-Amosa,5,1,,,,16,36,,1,,15,1,,,,,14
Nations Championship,2026-07-12,2026,Ireland,Bryn Ward,,,,,,5,3,,,,2,,,1,,,
Nations Championship,2026-07-12,2026,Ireland,Bundee Aki,,,,,,3,21,,,1,3,4,,1,,,
Nations Championship,2026-07-12,2026,England,Cadan Murley,,,,,,6,42,2,2,,3,2,,2,,,
Nations Championship,2026-07-12,2026,New Zealand,Caleb Clarke,,,,,,10,54,1,3,,3,1,1,,,,
Nations Championship,2026-07-12,2026,Fiji,Caleb Muntz,3,,,1,,8,23,,2,2,6,1,2,,,,
Nations Championship,2026-07-12,2026,New Zealand,Cam Roigard,15,3,,,,13,73,2,10,2,13,2,,,,,
Nations Championship,2026-07-12,2026,South Africa,Cameron Hanekom,,,,,,8,22,1,3,,10,1,1,,,,
Nations Championship,2026-07-12,2026,South Africa,Canan Moodie,,,,,,2,,,1,,1,,,,,,
Nations Championship,2026-07-12,2026,Australia,Carter Gordon,6,,3,,,2,30,1,1,1,,1,,,,,
Nations Championship,2026-07-12,2026,England,Charlie Ewels,,,,,,,,,,,3,1,,,,,
Nations Championship,2026-07-12,2026,South Africa,Cheslin Kolbe,15,1,5,,,4,18,1,2,,9,,,,,,
Nations Championship,2026-07-12,2026,Ireland,Cian Prendergast,5,1,,,,3,2,,,,17,1,,,,,
Nations Championship,2026-07-12,2026,Ireland,Ciaran Frawley,6,,3,,,9,84,1,3,,8,1,2,,,,
Nations Championship,2026-07-12,2026,South Africa,Cobus Reinach,,,,,,1,,,,1,2,,,,,,
Nations Championship,2026-07-12,2026,South Africa,Cobus Wiese,,,,,,4,38,1,3,1,5,1,,2,,,
Nations Championship,2026-07-12,2026,New Zealand,Codie Taylor,,,,,,15,47,,,,20,1,1,1,,,11
Nations Championship,2026-07-12,2026,Ireland,Cormac Izuchukwu,,,,,,5,16,,,,,,1,,,,
Nations Championship,2026-07-12,2026,New Zealand,Cortez Ratima,,,,,,2,24,1,,1,1,,,,,,
Nations Championship,2026-07-12,2026,Ireland,Craig Casey,,,,,,1,11,,,,7,3,2,,,,
Nations Championship,2026-07-12,2026,New Zealand,Damian McKenzie,,,,,,21,89,1,7,,7,4,4,,,,1
Nations Championship,2026-07-12,2026,France,Damian Penaud,5,1,,,,4,26,3,1,1,2,1,,,,,
Nations Championship,2026-07-12,2026,South Africa,Damian Willemse,5,1,,,,21,102,2,2,4,23,3,1,,,,
Nations Championship,2026-07-12,2026,South Africa,Damian de Allende,,,,,,5,12,,1,,14,2,,,,,
Nations Championship,2026-07-12,2026,Wales,Dan Edwards,5,,1,1,,,,,,,8,1,,,,,
Nations Championship,2026-07-12,2026,Ireland,Dan Sheehan,,,,,,7,17,,,,15,4,,1,,,13
Nations Championship,2026-07-12,2026,Italy,Danilo Fischetti,,,,,,7,2,,1,,21,1,2,1,,,
Nations Championship,2026-07-12,2026,Scotland,Darcy Graham,,,,,,2,,,,,4,1,,,,,
Nations Championship,2026-07-12,2026,Australia,Declan Meredith,,,,,,,,,,,2,2,,,,,
Nations Championship,2026-07-12,2026,France,Demba Bamba,,,,,,7,7,,1,,17,2,1,6,,,
Nations Championship,2026-07-12,2026,Wales,Dewi Lake,5,1,,,,11,23,,,,28,4,1,,,,16
Nations Championship,2026-07-12,2026,Wales,Dillon Lewis,,,,,,2,1,,,,18,3,1,,,,
Nations Championship,2026-07-12,2026,Australia,Dylan Pietsch,5,1,,,,17,54,3,4,1,14,,2,,,,
Nations Championship,2026-07-12,2026,Japan,Dylan Riley,,,,,,8,20,,3,1,14,7,1,,,,
Nations Championship,2026-07-12,2026,Wales,Eddie James,5,1,,,,9,20,,,,15,6,3,,,,
Nations Championship,2026-07-12,2026,South Africa,Edwill van der Merwe,,,,,,3,8,,,,3,4,,,,,
Nations Championship,2026-07-12,2026,Fiji,Elia Canakaivata,5,1,,,,13,28,,5,1,10,,1,,,,
Nations Championship,2026-07-12,2026,Scotland,Elliot Millar-Mills,,,,,,,,,,,5,,,,,,
Nations Championship,2026-07-12,2026,England,Ellis Genge,5,1,,,,6,18,,3,,21,1,,1,,,
Nations Championship,2026-07-12,2026,Wales,Ellis Mee,,,,,,8,32,,1,,10,2,1,,,,
Nations Championship,2026-07-12,2026,South Africa,Elrigh Louw,5,1,,,,5,22,,,,8,2,,1,,,
Nations Championship,2026-07-12,2026,South Africa,Embrose Papier,5,1,,,,1,26,1,4,,4,1,,,,,
Nations Championship,2026-07-12,2026,France,Emmanuel Meafou,5,1,,,,4,8,,1,,4,1,,1,1,,
Nations Championship,2026-07-12,2026,Fiji,Eroni Mawi,,,,,,7,7,,,1,11,2,1,3,,,
Nations Championship,2026-07-12,2026,South Africa,Ethan Hooker,,,,,,5,23,1,2,,4,,2,,,,
Nations Championship,2026-07-12,2026,New Zealand,Ethan de Groot,5,1,,,,11,23,,2,,19,1,1,2,,,
Nations Championship,2026-07-12,2026,South Africa,Evan Roos,5,1,,,,7,26,,,,15,1,,,,,
Nations Championship,2026-07-12,2026,Scotland,Ewan Ashman,,,,,,14,31,,1,1,16,2,4,3,,,18
Nations Championship,2026-07-12,2026,France,Fabien Brau-Boirie,,,,,,17,143,3,5,4,28,6,1,,,,
Nations Championship,2026-07-12,2026,Argentina,Faustino Sanchez Valarolo,,,,,,9,5,,,,14,1,,,,,
