Player,Rank,Team,carries,clean-break,conversion,defender-beaten,drop-goal,lineout-steals,lineout-throws-won,lineouts-lost,metres-made,missed-tackle,offload,penalty-conceded,penalty-goal,points,red-card,scrums-lost,scrums-won,tackle,try-scored,turnover-won,turnovers-conceded,yellow-card
Willie le Roux,33,Vodacom Bulls,84,8,7,18,,,3,,489,6,10,6,,39,,,,27,5,,25,1
Sam Costelow,34,Scarlets,31,5,9,11,,,1,,119,14,1,1,7,39,,,,45,,,4,
Jean Smith,35,Sharks,27,3,16,5,,,,,103,7,3,1,2,38,,,,21,,,11,
Ioan Lloyd,36,Cardiff,57,5,8,25,,,,,239,14,3,2,5,36,,,,46,1,,6,
Edwill van der Merwe,37,Sharks,81,9,,30,,,,,439,17,11,7,,35,,,,43,7,,20,
Siya Kolisi,38,Sharks,46,3,,21,,,,,224,2,1,3,,35,,,,28,7,,8,
Kyle Steyn,39,Glasgow,103,14,,40,,,,,658,12,2,7,,35,,,,57,7,,24,
Dan Lancaster,40,Glasgow,76,6,11,13,,,1,,305,14,9,2,1,35,,,,81,2,,9,
Jamie Dobie,41,Glasgow,46,6,,16,,,1,,265,1,4,4,,35,,,,35,7,,5,
Gregor Hiddleston,42,Glasgow,72,1,,1,,,109,,94,7,4,10,,35,,,,122,7,,5,
Paul de Villiers,43,DHL Stormers,86,4,,11,,,1,,238,27,7,5,,35,,,,190,7,,9,
Matthew Devine,44,Connacht,25,5,,8,,,,,213,11,,,,35,,,,29,7,,1,
Josh Adams,45,Cardiff,60,6,,13,,,,,316,7,3,3,,35,,,,47,7,,20,
Rhyno Smith,46,Benetton,69,8,5,23,1,,,,430,24,4,5,4,35,,,,40,2,,19,
Ruan Venter,47,Lions,156,3,,21,,,,,567,11,14,7,,35,,,,99,7,,7,
Tinus de Beer,48,Dragons,100,5,10,27,,,1,,429,18,3,6,1,33,,,,130,2,,16,
Phepsi Buthelezi,49,Sharks,106,2,,35,,,,,252,15,4,7,,30,,,,104,6,,7,
Kyle Rowe,50,Glasgow,119,12,,49,,,,,804,17,4,5,,30,,,,70,6,,20,
Ntuthuko Mchunu,51,DHL Stormers,65,1,,18,,,,,180,9,3,13,,30,,,,64,6,,4,1
Tommy O'Brien,52,Leinster,47,9,,17,,,,,404,6,4,6,,30,,,,29,6,,9,
Tom Stewart,53,Ulster,78,3,,15,,,90,,238,11,3,4,,30,,,,178,6,,6,
Jack Murphy,54,Ulster,40,2,11,8,,,,,112,37,1,8,1,30,,,,84,1,,17,
Shamus Hurley-Langton,55,Connacht,64,3,,14,,,,,205,5,8,6,,30,,,,102,6,,6,
Joe Roberts,56,Scarlets,90,7,,17,,,,,374,19,14,9,,30,,,,89,6,,13,2
Simone Gesi,57,Zebre,63,10,,29,,,2,,406,16,10,4,,30,1,,,54,6,,10,
Tom Bowen,58,Cardiff,59,6,,16,,,,,359,15,2,4,,30,,,,34,6,,15,
Ciaran Frawley,59,Leinster,67,5,6,16,,,,,269,7,7,1,,27,,,,49,3,,10,
Martin Roger,60,Zebre,45,2,9,4,,,,,224,15,6,4,3,27,,,,70,,,13,
Jack Walsh,61,Ospreys,132,5,8,24,,,,,574,21,16,6,,26,,,,87,2,,16,
John Hodnett,62,Munster,51,1,,19,,,,,223,12,3,3,,25,,,,95,5,,2,
Alex Kendellen,63,Munster,47,2,,5,,,,,122,10,1,7,,25,,,,96,5,,3,
Ben Vellacott,64,Edinburgh,52,4,,7,,,1,,288,12,9,2,,25,,,,25,5,,8,
Duhan van der Merwe,65,Edinburgh,50,8,,43,,,1,,324,6,8,1,,25,,,,24,5,,11,
Darcy Graham,66,Edinburgh,73,9,,28,,,,,421,18,6,6,,25,,,,44,5,,18,
Johnny Matthews,67,Glasgow,72,2,,11,,,109,,282,9,2,2,,25,,,,86,5,,6,
Harold Vorster,68,Vodacom Bulls,108,14,,16,,,,,501,21,14,3,,25,,,,110,5,,12,
Marcell Coetzee,69,Vodacom Bulls,142,1,,21,,,,,232,21,14,4,,25,,,,174,5,,3,
Cheswill Jooste,70,Vodacom Bulls,37,7,,22,,,,,376,10,2,2,,25,,,,28,5,,13,
David Kriel,71,Vodacom Bulls,69,2,5,16,,,,,473,21,12,5,,25,,,,71,3,,5,
Iestyn Hopkins,72,Ospreys,77,9,,17,,,,,426,12,3,,,25,,,,35,5,,15,
Keiran Williams,73,Ospreys,146,6,,28,,,,,422,21,7,6,,25,,,,118,5,,10,
Keelan Giles,74,Ospreys,86,7,,22,,,,,464,10,4,5,,25,,,,46,5,,7,
Kieran Hardy,75,Ospreys,34,3,,4,,,,,207,6,5,2,,25,,,,34,5,,6,
Scott Penny,76,Leinster,106,4,,11,,,,,304,20,3,8,,25,,,,123,5,,8,
Jimmy O'Brien,77,Leinster,131,10,,30,,,2,,691,16,19,2,,25,,,,51,5,,22,
Charlie Tector,78,Leinster,56,4,5,15,,,,,244,12,3,4,,25,,,,49,3,,6,
Robert Baloucoune,79,Ulster,33,2,,6,,,,,221,1,5,1,,25,,,,23,5,,7,
Macs Page,80,Scarlets,55,5,,17,,,,,236,17,7,5,,25,,,,63,5,,17,
Blair Murray,81,Scarlets,77,6,,42,,,1,,482,12,6,4,,25,,,,30,5,,14,1
Taine Plumtree,82,Scarlets,84,4,,9,,,,,252,15,9,12,,25,,,,100,5,,15,1
Javan Sebastian,83,Cardiff,67,1,,6,,,,,48,13,,16,,25,,,,91,5,,1,1
Francke Horn,84,Lions,90,11,,30,,,,,475,8,17,3,,25,,,,120,5,,6,1
Sibabalwe Mahashe,85,Lions,50,4,,9,,,,,293,20,10,5,,25,,,,102,5,,9,
Jake Flannery,86,Ulster,33,3,7,5,,,,,148,8,6,1,,24,,,,34,2,,14,
Ollie Smith,87,Glasgow,129,6,1,37,,,1,,620,10,7,2,,22,,,,60,4,,16,
Alessandro Garbisi,88,Benetton,38,2,1,6,,,2,,142,20,5,2,,22,,,,42,4,,14,1
Cammy Scott,89,Edinburgh,21,1,9,7,,,,,85,10,1,2,1,21,,,,58,,,6,
Giovanni Montemauri,90,Zebre,60,3,6,19,,,,,354,8,8,,3,21,,,,42,,,8,
Makazole Mapimpi,91,Sharks,58,7,,12,,,,,232,11,5,3,,20,,,,37,4,,12,
Emmanuel Tshituka,92,Sharks,100,1,,10,,,,,230,6,2,6,,20,,,,66,4,,6,
Vincent Tshituka,93,Sharks,128,3,,18,,,,,520,21,7,13,,20,,,,123,4,,16,
Andre Esterhuizen,94,Sharks,143,3,,48,,,1,,472,7,13,5,,20,,,,48,4,,19,
Jaco Williams,95,Sharks,26,3,,7,,,1,,178,8,3,1,,20,,,,12,4,,5,
Jurenzo Julius,96,Sharks,53,8,,29,,,,,433,16,1,2,,20,,,,42,4,,12,
Brian Gleeson,97,Munster,128,2,,20,,,,,320,11,1,9,,20,,,,118,4,,4,
Gavin Coombes,98,Munster,139,1,,15,,,,,250,10,19,6,,20,,,,169,4,,7,
Tom Ahern,99,Munster,45,1,,5,,,,,176,17,4,3,,20,,,,88,4,,11,
Sergeal Petersen,100,Vodacom Bulls,19,3,,6,,,,,154,3,1,2,,20,,,,4,4,,4,
Canan Moodie,101,Vodacom Bulls,92,11,,22,,,,,561,28,10,12,,20,,,,54,4,,22,1
Adre Smith,102,DHL Stormers,57,2,,3,,,,,124,16,2,11,,20,,,,98,4,,6,2
Max Deegan,103,Leinster,129,5,,12,,,,,374,16,5,10,,20,1,,,108,4,,7,
James Lowe,104,Leinster,89,7,,18,,,,,503,15,14,5,,20,,,,28,4,,17,1
Josh van der Flier,105,Leinster,78,2,,10,,,,,192,6,2,3,,20,,,,98,4,,9,
Rieko Ioane,106,Leinster,93,7,,13,,,,,372,10,4,7,,20,,,,47,4,,8,
Paul Boyle,107,Connacht,130,4,,22,,,,,308,11,4,5,,20,,,,153,4,,5,
Jarrod Taylor,108,Scarlets,86,5,,12,,,1,,273,18,2,13,,20,,,,119,4,,9,1
Ellis Mee,109,Scarlets,59,4,,14,,,1,,235,9,4,1,,20,,,,38,4,,6,
Bautista Stavile,110,Zebre,62,5,,23,,,1,,224,13,10,9,,20,,,,89,4,,9,
Tommaso di Bartolomeo,111,Zebre,40,,,,,,110,,62,7,1,5,,20,,,,117,4,,7,
Onisi Ratave,112,Benetton,44,8,,17,,,,,444,5,11,5,,20,,,,26,4,,3,
