Player,Rank,Team,carries,clean-break,conversion,defender-beaten,drop-goal,lineout-steals,lineout-throws-won,lineouts-lost,metres-made,missed-tackle,offload,penalty-conceded,penalty-goal,points,red-card,scrums-lost,scrums-won,tackle,try-scored,turnover-won,turnovers-conceded,yellow-card
Conrad van Vuuren,250,Lions,15,,,3,,,,,19,4,1,7,,10,,,,29,2,,1,
Bronson Mills,251,Lions,71,5,,13,,,,,292,14,6,7,,10,,,,83,2,,6,
Haashim Pead,252,Lions,13,1,,5,,,,,53,3,,,,10,,,,9,2,,1,
Etienne Oosthuizen,253,Lions,57,,,10,,,,,113,13,12,6,,10,,,,81,2,,8,
Asenathi Ntlabakanye,254,Lions,74,1,,8,,,,,99,9,1,8,,10,,,,140,2,,4,
Cathal Forde,255,Connacht,144,3,3,31,,,,,430,15,6,4,1,9,,,,138,,,8,
Siya Masuku,256,Sharks,13,,2,2,,,1,,40,8,2,1,1,7,,,,16,,,4,
Tony Butler,257,Munster,14,,2,1,,,,,59,4,1,2,1,7,,,,23,,,6,
James Lang,258,Edinburgh,75,3,1,16,,,,,321,14,5,4,,7,,,,72,1,,8,
Gianni Lombard,259,Lions,7,,,,,,,,5,2,3,,2,6,,,,2,,,2,
Phatu Ganyane,260,Sharks,25,,,,,,,,18,1,,11,,5,,,,49,1,,1,
Yaw Penxe,261,Sharks,30,3,,8,,,,,131,8,6,1,,5,,,,15,1,,7,
Hakeem Kunene,262,Sharks,9,1,,1,,,,,109,2,,1,,5,,,,6,1,,3,
Tinotenda Mavesere,263,Sharks,15,1,,,,,,,22,2,2,3,,5,,,,19,1,,3,
Luan Giliomee,264,Sharks,12,1,,4,,,,,64,3,2,1,,5,,,,1,1,,2,
Litelihle Bester,265,Sharks,24,3,,4,,,,,113,2,3,1,,5,,,,5,1,,6,
Hanro Jacobs,266,Sharks,31,1,,3,,,,,60,9,,12,,5,,,,53,1,,,
Lukhanyo Am,267,Sharks,24,,,4,,,,,70,5,3,3,,5,,,,23,1,,3,
Vincent Koch,268,Sharks,23,,,,,,,,16,5,1,5,,5,,,,54,1,,,
Grant Williams,269,Sharks,28,5,,11,,,,,152,2,6,3,,5,,,,38,1,,3,
Marvin Orie,270,Sharks,16,,,,,,,,8,7,,4,,5,,,,65,1,,4,
Lee-Marvin Mazibuko,271,Sharks,7,,,,,,,,4,2,,2,,5,,,,14,1,,,
Ross Braude,272,Sharks,9,1,,4,,,,,67,1,,1,,5,,,,10,1,,5,
Zekethelo Siyaya,273,Sharks,41,6,,24,,,,,372,3,5,1,,5,,,,7,1,,5,
Sean O'Brien,274,Munster,36,2,,9,,,,,196,10,3,3,,5,,,,29,1,,5,1
Evan O'Connell,275,Munster,33,,,2,,,,,34,4,1,2,,5,,,,35,1,,1,
Alex Nankivell,276,Munster,147,5,,50,,,,,456,11,11,6,,5,,,,116,1,,11,
Ruadhan Quinn,277,Munster,34,,,1,,,,,45,4,,2,,5,,,,48,1,,,
Calvin Nash,278,Munster,56,3,,16,,,,,233,8,2,1,,5,,,,35,1,,13,
Jean Kleyn,279,Munster,94,,,3,,,,,125,7,1,6,,5,,,,133,1,,8,
Diarmuid Barron,280,Munster,75,,,4,,,106,,109,15,1,7,,5,1,,,118,1,,6,
Ben O'Connor,281,Munster,14,2,,4,,,,,79,3,1,,,5,,,,1,1,,,
Edwin Edogbo,282,Munster,29,,,,,,,,40,3,1,4,,5,,,,48,1,,3,
Fineen Wycherley,283,Munster,75,,,,,,,,90,13,,7,,5,,,,181,1,,11,
Andrew Smith,284,Munster,44,8,,10,,,2,,229,18,2,4,,5,,,,37,1,,15,1
Pierre Schoeman,285,Edinburgh,117,1,,4,,,,,133,11,1,16,,5,,,,126,1,,3,
Wes Goosen,286,Edinburgh,85,11,,36,,,,,623,9,4,3,,5,,,,54,1,,10,
Paddy Harrison,287,Edinburgh,9,,,,,,7,,13,1,,1,,5,,,,8,1,,1,
Piers O'Conor,288,Edinburgh,76,3,,12,,,,,312,15,5,1,,5,,,,71,1,,11,
Glen Young,289,Edinburgh,89,2,,9,,,,,133,16,8,11,,5,,,,162,1,,10,
Connor Boyle,290,Edinburgh,23,,,2,,,1,,35,1,,,,5,,,,46,1,,3,
Matt Currie,291,Edinburgh,27,2,,6,,,,,112,7,1,2,,5,,,,46,1,,3,
D'arcy Rae,292,Edinburgh,23,,,2,,,,,12,3,,1,,5,,,,27,1,,1,
Mosese Tuipulotu,293,Edinburgh,30,1,,1,,,,,62,10,4,1,,5,,,,46,1,,2,
Harri Morris,294,Edinburgh,39,,,2,,,70,,65,10,,5,,5,1,,,95,1,,1,
Freddy Douglas,295,Edinburgh,59,2,,6,,,,,103,9,2,8,,5,,,,106,1,,4,
Lewis Wells,296,Edinburgh,16,2,,3,,,1,,102,4,2,,,5,,,,9,1,,4,
Grant Gilchrist,297,Edinburgh,49,1,,2,,,,,51,4,1,10,,5,,,,126,1,,8,
Liam McConnell,298,Edinburgh,68,1,,6,,,,,140,19,2,12,,5,,,,147,1,,7,
Max Williamson,299,Glasgow,49,,,3,,,,,35,6,1,3,,5,,,,63,1,,4,
Sam Talakai,300,Glasgow,57,1,,7,,,,,87,1,1,6,,5,,,,71,1,,3,
Sione Tuipulotu,301,Glasgow,140,4,,29,,,,,478,14,1,,,5,,,,78,1,,7,
Jack Dempsey,302,Glasgow,116,4,,19,,,,,412,11,6,4,,5,,,,75,1,,7,1
Gregor Brown,303,Glasgow,60,1,,10,,,,,253,2,5,7,,5,,,,74,1,,3,
Euan Ferrie,304,Glasgow,78,3,,2,,,,,107,15,1,9,,5,,,,134,1,,10,
Fergus Watson,305,Glasgow,14,2,,9,,,,,88,4,,1,,5,,,,8,1,,2,
Jan Serfontein,306,Vodacom Bulls,14,,,5,,,,,79,1,1,,,5,,,,26,1,,3,
Cobus Wiese,307,Vodacom Bulls,80,2,,9,,,,,247,21,1,9,,5,,,,101,1,,18,1
Francois Klopper,308,Vodacom Bulls,30,,,1,,,,,45,8,,5,,5,,,,67,1,,4,1
Juann Else,309,Vodacom Bulls,2,,,,,,6,,9,1,,1,,5,,,,9,1,,1,
Akker van der Merwe,310,Vodacom Bulls,7,,,,,,14,,21,1,,1,,5,,,,4,1,,1,
Zak Burger,311,Vodacom Bulls,16,1,,1,,,,,38,5,1,1,,5,,,,13,1,,3,
Wilco Louw,312,Vodacom Bulls,30,,,2,,,,,42,7,,3,,5,,,,52,1,,2,
Ruan Nortje,313,Vodacom Bulls,81,4,,7,,,,,242,17,3,11,,5,,,,146,1,,11,2
Devon Williams,314,Vodacom Bulls,22,2,,1,,,,,106,6,,3,,5,,,,13,1,,6,
Jeandre Rudolph,315,Vodacom Bulls,110,1,,13,,,,,602,12,6,9,,5,,,,146,1,,5,
Elrigh Louw,316,Vodacom Bulls,105,4,,16,,,,,444,18,4,10,,5,,,,115,1,,14,
Warrick Gelant,317,DHL Stormers,73,2,,19,,,2,,286,11,9,2,,5,,,,20,1,,13,
JD Schickerling,318,DHL Stormers,53,1,,6,,,,,84,6,3,5,,5,,,,93,1,,5,
JJ Kotze,319,DHL Stormers,31,2,,7,,,108,,107,7,1,3,,5,,,,69,1,,6,
Sazi Sandi,320,DHL Stormers,21,,,1,,,,,26,6,,7,,5,,,,45,1,,2,
Ruben van Heerden,321,DHL Stormers,62,,,4,,,,,130,4,1,3,,5,,,,91,1,,4,
Deon Fourie,322,DHL Stormers,9,,,2,,,,,11,2,1,2,,5,,,,18,1,,1,1
Cobus Reinach,323,DHL Stormers,27,5,,8,,,,,168,10,2,1,,5,,,,31,1,,7,1
Hacjivah Dayimani,324,DHL Stormers,12,,,3,,,,,16,1,,2,,5,,,,15,1,,,
Stefan Ungerer,325,DHL Stormers,15,1,,1,,,,,85,20,2,1,,5,,,,22,1,,7,
Andre-Hugo Venter,326,DHL Stormers,137,1,,28,,,159,,317,15,4,6,,5,,,,136,1,,6,
Keketso Morabe,327,DHL Stormers,7,,,,,,,,22,2,,,,5,,,,5,1,,1,
Owen Watkin,328,Ospreys,59,3,,12,,,,,85,12,4,4,,5,,,,92,1,,7,1
Lewis Lloyd,329,Ospreys,35,2,,4,,,34,,98,6,,1,,5,,,,42,1,,3,
Huw Owen-Sutton,330,Ospreys,39,2,,2,,,,,91,5,2,3,,5,,,,114,1,,3,
Harri Deaves,331,Ospreys,85,4,,24,,,,,284,8,4,10,,5,,,,150,1,,7,
Evardi Boshoff,332,Ospreys,33,3,,10,,,,,136,12,7,3,,5,,,,48,1,,2,
Sam Parry,333,Ospreys,44,2,,6,,,90,,88,5,,7,,5,,,,78,1,,3,
Garyn Phillips,334,Ospreys,28,,,3,,,1,,45,4,,6,,5,,,,47,1,,3,
Cormac Foley,335,Ospreys,4,,,1,,,,,6,1,,1,,5,,,,2,1,,,
Morgan Morris,336,Ospreys,82,1,,8,,,,,216,6,,1,,5,,,,54,1,,7,
Dewi Lake,337,Ospreys,86,1,,6,,,73,,156,8,,6,,5,,,,106,1,,7,
Brian Deeny,338,Leinster,83,2,,4,,,,,92,23,5,6,,5,,,,167,1,,11,2
Robbie Henshaw,339,Leinster,84,,,9,,,,,221,12,5,2,,5,,,,69,1,,5,
Conor O'Tighearnaigh,340,Leinster,12,,,2,,,,,26,3,1,1,,5,,,,17,1,,2,
Jerry Cahir,341,Leinster,39,,,1,,,,,34,9,,5,,5,,,,60,1,,1,
Jack Conan,342,Leinster,70,4,,10,,,,,208,3,5,1,,5,,,,59,1,,2,
Fintan Gunne,343,Leinster,34,2,,8,,,,,178,5,5,1,,5,,,,32,1,,8,
Luke McGrath,344,Leinster,51,5,,14,,,,,220,15,1,3,,5,,,,67,1,,20,
James Culhane,345,Leinster,78,,,12,,,,,291,7,4,2,,5,,,,89,1,,6,
Ronan Kelleher,346,Leinster,59,,,7,,,73,,103,6,4,4,,5,,,,75,1,,3,1
James Ryan,347,Leinster,67,,,1,,,,,63,5,2,4,,5,,,,75,1,,7,
Hugh Cooney,348,Leinster,33,4,,4,,,,,121,9,2,1,,5,,,,30,1,,3,
Will Connors,349,Leinster,43,,,1,,,2,,49,4,4,6,,5,,,,67,1,,3,
Tom McAllister,350,Ulster,16,1,,1,,,,,33,3,,,,5,,,,41,1,,,
Aitzol King,351,Ulster,10,1,,3,,,,,39,,,1,,5,,,,7,1,,1,
Eric O'Sullivan,352,Ulster,22,,,1,,,,,19,6,3,7,,5,,,,33,1,,,
Stuart McCloskey,353,Ulster,67,2,,14,,,,,225,6,10,3,,5,,,,62,1,,4,
Ethan Mcilroy,354,Ulster,45,3,,11,,,,,140,7,5,1,,5,,,,26,1,,3,
John Andrew,355,Ulster,5,,,,,,3,,10,1,,,,5,,,,2,1,,,
Callum Reid,356,Ulster,15,,,1,,,,,7,,,3,,5,,,,19,1,,1,
Ben Carson,357,Ulster,47,,,5,,,,,88,7,,2,,5,,,,20,1,,5,
Conor McKee,358,Ulster,14,,,2,,,,,31,10,4,3,,5,,,,36,1,,3,
Harry Sheridan,359,Ulster,66,1,,8,,,,,79,17,2,8,,5,1,,,153,1,,9,1
Nick Timoney,360,Ulster,74,1,,6,,,,,165,13,5,1,,5,,,,163,1,,6,
David O'Connor,361,Connacht,51,1,,8,,,,,59,3,,4,,5,,,,77,1,,,
Shayne Bolton,362,Connacht,64,9,,23,,,,,406,13,2,2,,5,,,,30,1,,10,
Fiachna Barrett,363,Connacht,20,1,,1,,,,,67,1,,1,,5,,,,31,1,,2,
Harry West,364,Connacht,63,4,,10,,,,,289,8,2,4,,5,,,,45,1,,8,
Hugh Gavin,365,Connacht,53,2,,4,,,,,143,8,3,2,,5,,,,39,1,,4,
Eoin de Buitlear,366,Connacht,30,1,,2,,,20,,41,1,3,2,,5,,,,66,1,,,
Dave Heffernan,367,Connacht,71,1,,9,,,82,,203,14,2,3,,5,,,,119,1,,6,
Jack Aungier,368,Connacht,38,1,,6,,,,,32,5,3,6,,5,,,,74,1,,1,
Caolin Blade,369,Connacht,21,1,,8,,,,,115,5,2,,,5,,,,20,1,,3,
Mack Hansen,370,Connacht,12,,,4,,,,,66,1,1,,,5,,,,2,1,,2,
Josh Murphy,371,Connacht,126,1,,1,,,,,217,7,,13,,5,,,,173,1,,8,
Joe Joyce,372,Connacht,58,1,,4,,,,,74,7,2,9,,5,,,,124,1,,1,
Oisin McCormack,373,Connacht,13,,,2,,,,,20,,,,,5,,,,9,1,,,
John Devine,374,Connacht,30,2,,3,,,,,95,9,,4,,5,,,,30,1,,1,
Sam Illo,375,Connacht,39,,,6,,,,,74,5,,9,,5,,,,93,1,,2,1
Chay Mullins,376,Connacht,45,5,,10,,,,,213,9,2,7,,5,,,,41,1,,3,
Callum Woolley,377,Scarlets,4,1,,,,,,,15,1,,,,5,,,,1,1,,,
Dane Blacker,378,Scarlets,16,,,2,,,1,,84,12,1,1,,5,,,,33,1,,7,
Johnny Williams,379,Scarlets,88,2,,8,,,,,153,17,10,6,,5,,,,77,1,,4,
Dan Davis,380,Scarlets,38,,,3,,,,,64,3,1,4,,5,,,,80,1,,6,
Tomi Lewis,381,Scarlets,15,2,,6,,,,,66,9,3,2,,5,,,,15,1,,4,
Marnus van der Merwe,382,Scarlets,59,,,3,,,89,,81,16,,9,,5,,,,97,1,,2,
Ioan Jones,383,Scarlets,25,1,,5,,,,,168,2,1,,,5,,,,12,1,,2,
Fletcher Anderson,384,Scarlets,190,2,,46,,,,,542,18,9,6,,5,,,,185,1,,10,
David Odiase,385,Zebre,80,2,,14,,,,,199,7,2,5,,5,,,,122,1,,3,
Giampietro Ribaldi,386,Zebre,30,,,1,,,46,,28,3,,2,,5,,,,52,1,,2,
Lorenzo Pani,387,Zebre,35,2,,7,,,,,181,6,2,2,,5,,,,9,1,,15,
Giovanni Licata,388,Zebre,83,3,,10,,,1,,180,8,16,6,,5,,,,55,1,,6,
Giacomo Ferrari,389,Zebre,63,1,,6,,,,,147,8,,4,,5,,,,81,1,,6,
Franco Carrera,390,Zebre,35,2,,6,,,,,110,1,2,7,,5,,,,66,1,,3,
Juan Pitinari,391,Zebre,41,,,,,,,,39,5,1,10,,5,,,,60,1,,1,
Samuele Locatelli,392,Zebre,53,2,,17,,,,,119,7,4,10,,5,,,,116,1,,4,
Gonzalo Garcia,393,Zebre,19,1,,1,,,,,54,5,1,3,,5,,,,29,1,,8,
Liam Belcher,394,Cardiff,136,2,,7,,,135,,288,15,,9,,5,,,,172,1,,4,2
James Botham,395,Cardiff,66,2,,8,,,,,134,9,6,5,,5,,,,119,1,,5,
Harri Millard,396,Cardiff,64,7,,17,,,,,346,13,2,1,,5,,,,67,1,,15,
Steff Emanuel,397,Cardiff,22,,,5,,,,,92,1,1,,,5,,,,29,1,,3,
Aled Davies,398,Cardiff,13,,,3,,,,,98,7,2,1,,5,,,,42,1,,8,
Josh McNally,399,Cardiff,98,1,,6,,,,,133,13,2,14,,5,,,,127,1,,6,1
Rory Thornton,400,Cardiff,42,,,1,,,,,32,3,1,3,,5,,,,91,1,,5,
Louis Werchon,401,Benetton,15,,,2,,,,,53,4,2,,,5,,,,21,1,,2,
Siua Maile,402,Benetton,27,1,,4,,,64,,54,7,,5,,5,,,,68,1,,9,
Cristiano Tizzano,403,Benetton,1,,,,,,,,,1,,,,5,,,,9,1,,,
Simone Ferrari,404,Benetton,22,,,1,,,,,18,7,1,2,,5,,,,58,1,,,
Tommaso Menoncello,405,Benetton,74,7,,21,,,,,399,17,9,6,,5,,,,91,1,,15,
Thomas Gallo,406,Benetton,37,3,,14,,,,,76,9,4,6,,5,,,,79,1,,6,
Matt Gallagher,407,Benetton,113,8,,21,,,,,477,13,15,,,5,,,,21,1,,13,
Federico Ruzza,408,Benetton,40,2,,2,,,,,39,1,7,3,,5,,,,49,1,,4,
Malakai Fekitoa,409,Benetton,94,,,5,,,,,157,20,10,5,,5,,,,49,1,,6,1
Shane Lewis-Hughes,410,Dragons,43,,,5,,,,,31,9,,6,,5,,,,104,1,,3,
Rhodri Williams,411,Dragons,45,,,1,,,,,157,15,2,3,,5,,,,58,1,,18,
Seb Davies,412,Dragons,49,1,,4,,,,,52,12,1,6,,5,,,,109,1,,7,
George Roberts,413,Dragons,15,,,5,,,24,,41,1,1,1,,5,,,,37,1,,,
Levi Douglas,414,Dragons,83,1,,6,,,,,97,7,2,12,,5,,,,84,1,,2,1
Matthew Screech,415,Dragons,62,,,6,,,,,80,9,,3,,5,,,,59,1,,6,
Harrison Keddie,416,Dragons,73,1,,17,,,,,181,9,2,6,,5,,,,143,1,,7,
Dillon Lewis,417,Dragons,24,,,1,,,,,18,7,1,6,,5,,,,58,1,,2,
Richard Kriel,418,Lions,75,5,,27,,,,,274,25,10,4,,5,,,,86,1,,10,
WJ Steenkamp,419,Lions,13,,,1,,,,,32,,,,,5,,,,9,1,,2,
Jarod Cairns,420,Lions,26,5,,7,,,,,104,11,3,5,,5,,,,85,1,,6,
Franco Marais,421,Lions,51,,,1,,,75,,72,8,1,9,,5,,,,80,1,,2,
PJ Botha,422,Lions,59,,,6,,,114,,117,20,9,5,,5,,,,113,1,,6,
Renzo du Plessis,423,Lions,29,1,,9,,,,,150,9,2,1,,5,,,,56,1,,5,
George Whitehead,424,Sharks,5,,2,,,,,,18,4,,,,4,,,,8,,,1,
Bradley Davids,425,Sharks,8,,2,4,,,,,26,4,1,2,,4,,,,7,,,4,
Jaden Hendrikse,426,Sharks,20,,2,1,,,1,,70,16,3,3,,4,,,,51,,,6,
James Humphreys,427,Ulster,1,,2,,,,,,,,,1,,4,,,,5,,,1,
Tom Wood,428,Munster,2,,1,,,,,,3,1,,,,2,,,,5,,,1,
Harri Wilde,429,Cardiff,,,1,,,,,,,,,,,2,,,,,,,,
Nicolas Roger,430,Benetton,6,,1,1,,,,,16,2,,,,2,,,,12,,,2,
Cai Evans,431,Dragons,23,,1,4,,,,,89,8,,,,2,,,,18,,,6,
Darrien-Lane Landsberg,432,Lions,,,,,,,,,,,,6,,,,,,,1,,,
Alun Lawrence,2,Cardiff,210,2,,9,,,1,,423,16,2,4,,,,,,217,,,11,1
Bundee Aki,28,Connacht,126,5,,19,,,,,376,13,6,4,,,,,,87,,,6,
Ross Moriarty,48,Ospreys,108,3,,9,,,,,283,16,5,8,,,1,,,126,,,11,1
So'otala Fa'aso'o,54,Benetton,106,1,,8,,,,,271,17,3,4,,,,,,86,,,10,
Zander Fagerson,65,Glasgow,98,,,3,,,,,83,5,1,8,,,,,,45,,,2,
Bathobele Hlekani,69,Lions,95,1,,24,,,,,213,19,2,7,,,,,,128,,,4,
Jacob Stockdale,86,Ulster,88,5,,40,,,,,523,9,9,4,,,,,,26,,,15,
Kemsley Mathias,94,Scarlets,86,,,3,,,,,84,14,1,11,,,,,,115,,,3,1
Ryan Smith,101,Ospreys,84,2,,15,,,,,160,12,4,13,,,,,,129,,,8,1
Riccardo Favretto,108,Benetton,83,1,,14,,,,,174,9,5,4,,,,,,123,,,10,
Caelan Doris,112,Leinster,82,1,,18,,,,,199,7,3,3,,,,,,87,,,6,
Alex Samuel,114,Glasgow,81,1,,3,,,,,55,9,2,6,,,,,,95,,,8,1
Nick Hatton,125,Sharks,77,2,,5,,,,,243,8,5,3,,,,,,74,,,7,
Alex Craig,126,Glasgow,77,,,8,,,,,62,,4,7,,,,,,68,,,1,
Diarmuid Mangan,129,Leinster,77,1,,4,,,,,162,6,1,7,,,,,,68,,,5,
Ryan Elias,133,Scarlets,76,,,7,,,93,,156,5,1,5,,,,,,87,,,1,
Rhys Davies,141,Ospreys,74,,,2,,,,,82,7,1,6,,,,,,134,,,3,
Jude Postlethwaite,142,Ulster,74,5,,20,,,,,333,13,14,2,,,,,,68,,,5,
Darragh Murray,156,Connacht,72,1,,3,,,,,68,18,4,3,,,,,,148,,,5,1
Marcel Theunissen,157,DHL Stormers,71,1,,8,,,,,139,4,3,4,,,,,,76,,,6,
Jeremy Loughman,162,Munster,70,,,3,,,1,,53,10,3,14,,,,,,134,,,7,
Lorenzo Cannone,164,Benetton,70,2,,8,,,,,199,8,2,4,,,,,,76,,,6,
George Nott,184,Cardiff,66,,,1,,,,,60,10,6,6,,,,,,128,,,6,
Michele Lamaro,188,Benetton,65,,,3,,,,,92,26,4,7,,,,,,125,,,8,
Ben-Jason Dixon,196,DHL Stormers,63,1,,8,,,,,173,25,7,12,,,,,,154,,,10,1
Shane Jennings,205,Connacht,62,2,,5,,,,,196,13,5,2,,,,,,70,,,12,
Jake Ball,212,Scarlets,60,,,1,,,,,71,5,,9,,,,,,65,,,4,
Alessandro Izekor,215,Benetton,60,2,,13,,,,,126,7,1,4,,,,,,151,,,10,
Sione Vailanu,217,Glasgow,59,2,,3,,,,,146,5,,1,,,,,,51,,,5,
Ox Nche,231,Sharks,57,,,8,,,,,64,10,3,3,,,,,,53,,,8,
Stedman Gans,233,Vodacom Bulls,57,4,,16,,,,,308,8,6,4,,,,,,39,,,7,1
Sean O'Brien,236,Connacht,57,,,10,,,,,149,4,1,4,,,,,,105,,,4,
Matteo Canali,237,Zebre,57,,,3,,,,,68,14,1,5,,,,,,123,,,1,
Ryan Woodman,240,Dragons,57,,,1,,,,,95,11,2,5,,,,,,138,,,4,
Eduan Swart,249,Sharks,55,1,,2,,,96,,99,14,3,4,,,,,,58,,,1,
Damiano Mazza,255,Zebre,55,,,5,,,,,186,3,4,4,,,,,,82,,,9,
Muhamed Hasa,257,Zebre,54,,,4,,,,,70,12,,18,,,,,,71,,,5,
Marshall Sykes,262,Edinburgh,53,,,1,,,,,40,8,2,1,,,,,,109,,,3,
Alessandro Ortombina,265,Zebre,53,,,3,,,,,58,10,1,5,,,,,,181,,,9,
Jan-Hendrik Wessels,268,Vodacom Bulls,52,1,,4,,,19,,128,7,,16,,,,,,77,,,5,
Thaakir Abrahams,271,Munster,51,5,,15,,,,,333,20,2,4,,,,,,32,,,10,
Gerhard Steenekamp,274,Vodacom Bulls,51,1,,3,,,1,,89,9,1,7,,,,,,94,,,6,
Iain Henderson,280,Ulster,50,,,,,,,,56,6,2,11,,,1,,,87,,,4,
Niccolo Cannone,288,Benetton,49,,,1,,,,,34,4,,6,,,,,,74,,,1,
Michael Ala'alatoa,290,Munster,48,,,,,,,,47,15,,23,,,,,,124,,,3,
Scott Cummings,291,Glasgow,48,1,,2,,,,,67,4,,4,,,,,,48,,,2,1
John McKee,307,Leinster,45,2,,2,,,40,,83,5,,4,,,,,,52,,,2,
Rhys Barratt,313,Cardiff,45,,,3,,,,,35,19,,8,,,,,,135,,,4,
Angus Fraser,317,Glasgow,44,1,,13,,,,,106,5,4,2,,,,,,60,,,3,
Tom O'Toole,320,Ulster,44,,,3,,,,,52,4,1,11,,,,,,73,,,1,
Davide Ruggeri,321,Zebre,44,1,,5,,,,,98,9,2,5,,,,,,54,,,5,
Niall Scannell,324,Munster,43,1,,1,,,47,,77,3,1,2,,,,,,39,,,1,
Findlay Thomson,329,Edinburgh,42,,,1,,,,,119,7,,3,,,,,,56,,,1,
Mirco Spagnolo,337,Benetton,41,1,,4,,,,,74,2,2,3,,,,,,37,,,1,
Dan du Plessis,339,DHL Stormers,40,2,,6,,,,,155,3,2,3,,,,,,59,,,2,
Giulio Marini,343,Benetton,40,1,,3,,,,,43,11,,5,,,,,,107,,,2,
Rory Sutherland,347,Glasgow,39,1,,2,,,,,45,1,1,7,,,,,,42,,,4,
Max Nagy,349,Ospreys,39,,,4,,,,,115,5,3,4,,,,,,27,,,2,
Alex Usanov,350,Leinster,39,,,2,,,,,44,3,,3,,,,,,39,,,,
Matt Dalton,352,Ulster,39,2,,2,,,,,134,7,2,1,,,,,,48,,,6,
Sam Crean,353,Ulster,39,,,,,,,,16,10,,13,,,,,,82,,,6,
JF van Heerden,356,Vodacom Bulls,38,,,,,,1,,77,7,,6,,,,,,35,,,1,
Steff Thomas,357,Ospreys,38,,,3,,,1,,29,9,,8,,,,,,86,,,1,
Fetuli Paea,362,Dragons,38,1,,10,,,,,115,7,1,1,,,,,,36,,,5,
Rodrigo Martinez,363,Dragons,38,,,,,,,,40,7,,10,,,,,,97,,,4,
Huw Anderson,364,Dragons,38,5,,4,,,,,144,10,2,,,,,,,21,,,6,
Christian Coleman,365,Dragons,38,,,1,,,,,34,6,1,14,,,,,,40,,,3,
Rhys Henry,367,Ospreys,37,1,,3,,,,,42,3,,5,,,,,,43,,,3,
Peter Dooley,368,Connacht,37,,,3,,,,,31,10,,6,,,,,,88,,,2,
Leonardo Krumov,369,Zebre,37,1,,3,,,,,50,8,4,8,,,,,,98,,,7,
Harry Beddall,371,Dragons,37,,,5,,,,,45,3,,6,,,,,,146,,,4,
Aphelele Fassi,372,Sharks,36,5,,8,,,2,,255,2,4,4,,,,,,10,,,6,
Ally Miller,374,Glasgow,36,,,2,,,,,72,1,,1,,,,,,43,,,4,
Billy Bohan,375,Connacht,36,,,3,,,,,43,6,2,7,,,,,,85,,,,
Leonardo Marin,376,Benetton,36,2,,12,,,,,135,16,7,3,,,,,,65,,,11,
Eli Snyman,381,Benetton,35,,,,,,,,50,9,,,,,,,,83,,,7,
Ben Muncaster,384,Edinburgh,34,1,,12,,,,,139,3,5,3,,,,,,52,,,8,
James Fender,385,Ospreys,34,,,,,,,,25,9,,6,,,,,,63,,,2,
Filippo Drago,388,Benetton,34,,,3,,,,,55,8,2,,,,,,,42,,,2,
Jamie Bhatti,392,Glasgow,33,,,,,,1,,21,5,,11,,,,,,42,,,2,
Ben Afshar,393,Glasgow,33,1,,5,,,,,139,9,3,,,,,,,28,,,8,
Henry Thomas,398,Scarlets,33,,,1,,,,,30,14,2,18,,,,,,84,,,2,
Nizaam Carr,399,Vodacom Bulls,32,,,5,,,,,132,7,3,1,,,,,,50,,,5,
Neethling Fouche,400,DHL Stormers,32,,,,,,,,22,16,,12,,,,,,91,,,1,
Jadin Kingi,402,Benetton,32,,,3,,,,,35,4,1,1,,,,,,47,,,1,
Giosue Zilocchi,403,Benetton,32,,,2,,,,,19,3,2,7,,,,,,56,,,1,
Sebastian Negri,404,Benetton,32,2,,4,,,,,74,2,,5,,,,,,31,,,2,
Tadhg Furlong,408,Leinster,31,,,4,,,,,33,6,1,2,,,,,,34,,,2,
Callum Hunter-Hill,413,Edinburgh,30,,,,,,,,25,10,1,2,,,,,,72,,,1,
Niall Murray,416,Connacht,30,,,,,,,,45,3,3,4,,,,,,71,,,3,
Manuel Zuliani,420,Benetton,30,1,,4,,,,,64,8,2,7,,,,,,60,,,3,
RF Schoeman,421,Lions,30,,,4,,,,,56,9,,5,,,,,,66,,,,
Bathobele Hlekani,427,Sharks,28,1,,8,,,,,72,6,1,3,,,,,,45,,,2,
Andrew Osborne,431,Leinster,28,5,,7,,,,,175,6,4,5,,,,,,13,,,6,
Jack Carty,432,Connacht,28,1,,7,,,,,81,15,1,4,,,,,,49,,,4,
Keiron Assiratti,433,Cardiff,28,,,,,,,,10,7,,19,,,,,,58,,,3,1
John Ryan,435,Munster,27,,,1,,,,,15,4,,9,,,,,,57,,,1,
Jack Brown,436,Edinburgh,27,1,,7,,,,,127,9,,2,,,,,,12,,,4,
Jack Boyle,439,Leinster,27,1,,5,,,,,47,4,1,12,,,,,,31,,,1,
Jac Davies,440,Scarlets,27,1,,6,,,,,121,5,,4,,,,,,10,,,2,
Destiny Aminu,443,Benetton,27,,,1,,,,,30,8,,6,,,,,,61,,,2,
Robert Hunt,444,Dragons,27,1,,3,,,,,43,6,1,11,,,,,,82,,,4,
Ruan Delport,445,Lions,27,1,,1,,,,,47,1,2,,,,,,,25,,,2,
Josh Wycherley,447,Munster,26,,,2,,,,,19,7,,5,,,,,,44,,,4,
Ollie Blyth-Lafferty,448,Edinburgh,26,,,,,,,,25,4,,5,,,,,,56,,,,
JJ Theron,450,Vodacom Bulls,26,,,3,,,,,94,6,2,1,,,,,,52,,,3,
